,0
0,-113.59445568785905
1,-113.58827696588841
2,-113.58287035744245
3,-113.57844917319431
4,-113.58556890449314
5,-113.5849165527752
6,-113.5853167239448
7,-113.5850733125588
8,-113.58151816633425
9,-113.58214268981018
10,-113.58690629234665
11,-113.58419787737726
12,-113.57608519736462
13,-113.58697510843069
14,-113.58497792341853
15,-113.58505568619366
16,-113.58431098591001
17,-113.57892055580689
18,-113.58412505064734
19,-113.58819351603668
20,-113.58356952152586
21,-113.58421104053491
22,-113.58508553536356
23,-113.58413084169094
24,-113.58350419293456
25,-113.58675943361938
26,-113.58857321811664
27,-113.58500337742647
28,-113.58164460376994
29,-113.58068836348079
30,-113.5858185265428
31,-113.58594360105391
32,-113.5828900534636
33,-113.58720910006556
34,-113.58742383599655
35,-113.58329134504383
36,-113.58037832568823
37,-113.58385906168589
38,-113.58333876860371
39,-113.5858222253616
40,-113.58283629657706
41,-113.58015811048276
42,-113.58468065077025
43,-113.58077624868199
44,-113.58452367283925
45,-113.58556305865883
46,-113.58444469398736
47,-113.58549415246279
48,-113.58510658098449
49,-113.58524566650897
50,-113.58616836658743
51,-113.58169874315982
52,-113.58655327032433
53,-113.58649246612568
54,-113.58472252751551
55,-113.581509437412
56,-113.57731793588567
57,-113.58199053339244
58,-113.5849290472126
59,-113.58654095036272
60,-113.58789801662525
61,-113.57894821180126
62,-113.5850038391153
63,-113.58663956036035
64,-113.58661471685156
65,-113.58581897164116
66,-113.58501386205853
67,-113.5812922211075
68,-113.58811851581022
69,-113.58486464304497
70,-113.58779493412312
71,-113.5858133585861
72,-113.58726693772165
73,-113.58249666029481
74,-113.5862051187572
75,-113.58673048748491
76,-113.58556674947107
