,0
0,-86.34414097467187
1,-86.34335862707394
2,-86.34344565707363
3,-86.34354189501938
4,-86.34341525610667
5,-86.34342977279579
6,-86.34330812559482
7,-86.34397910520501
8,-86.34344210408617
9,-86.34300055755006
10,-86.34319953138939
11,-86.34364468843106
12,-86.34315683865641
13,-86.3436595641104
14,-86.34343112956678
15,-86.34332156679044
16,-86.34352246413779
17,-86.34304499129907
18,-86.3437126179242
19,-86.34329611825966
20,-86.3433917501261
21,-86.34357033526088
22,-86.34316285236872
23,-86.34377489154969
24,-86.34308193120643
25,-86.34368938358055
26,-86.34347199887749
27,-86.34329816262023
28,-86.34386770298262
29,-86.34328449675503
30,-86.3434057934707
31,-86.34368175720824
32,-86.34342568876093
33,-86.34320885486798
34,-86.34349314808685
35,-86.34337591707818
36,-86.34364027020315
37,-86.34325428697385
38,-86.3437655193518
39,-86.34384970835862
40,-86.3435405632723
41,-86.34356296629434
42,-86.34351804420153
43,-86.34366251711248
44,-86.34337552520415
45,-86.3436185807749
46,-86.34374943854242
47,-86.34387489791777
48,-86.34306665785002
49,-86.34369659244247
50,-86.34355031200737
51,-86.34308168363715
52,-86.3432620065942
53,-86.34378450588245
54,-86.34393324215822
55,-86.34384887759778
56,-86.34329011116971
57,-86.34319925211436
58,-86.34371908741014
59,-86.34341500507732
60,-86.34367175453791
61,-86.34363937831003
62,-86.34352152523806
63,-86.34352543595523
64,-86.34355581694223
