,0
0,-86.34415651463343
1,-86.31204301983023
2,-86.30136324086176
3,-86.30602481132848
4,-86.30940522023354
5,-86.32377103324913
6,-86.30625027470359
7,-86.31195208215924
8,-86.30590818259368
9,-86.32197945083252
10,-86.31907667685299
11,-86.31676859565927
12,-86.31085381119574
13,-86.307986057669
14,-86.30718048851229
15,-86.30989464134556
16,-86.31219827852267
17,-86.29945695644585
18,-86.30288778626685
19,-86.31415716101685
20,-86.30150487250987
21,-86.31013278622665
22,-86.308273203589
23,-86.31872990576792
