,0
0,-60.17573980
1,-60.16909297
2,-60.16885578
3,-60.17063159
4,-60.16909644
5,-60.17057379
6,-60.16870636
7,-60.16855941
8,-60.16794454
9,-60.16857583
10,-60.17046497
11,-60.17085617
12,-60.1694787
13,-60.16912488
14,-60.1703259
15,-60.16887008
16,-60.16981113
17,-60.16994948
18,-60.17039474
19,-60.17071397
20,-60.16736546
21,-60.17086822
22,-60.16862571
23,-60.17100262
24,-60.16939438
25,-60.16543974
26,-60.17165271
27,-60.17101809
28,-60.17154131
29,-60.16706138
30,-60.168224
31,-60.17146431
32,-60.16823735
33,-60.16981559
34,-60.17236966
35,-60.17151833
36,-60.16834214
37,-60.17106938
38,-60.16959896
39,-60.16833736
40,-60.17065536
41,-60.16990933
42,-60.16930871
43,-60.16914079
44,-60.16808701
45,-60.17040848
46,-60.17118587
47,-60.16978
48,-60.16984055
49,-60.1697005
50,-60.17053092
51,-60.1702689
52,-60.16587542
53,-60.16958559
54,-60.17000174
55,-60.17074027
56,-60.16698333
57,-60.1671277
58,-60.1668287
59,-60.1695965
60,-60.17006614
61,-60.17242076
62,-60.17005367
63,-60.16825553
64,-60.17099136
65,-60.16786234
66,-60.17056208
67,-60.17146933
68,-60.1704806
69,-60.16785034
70,-60.17089554
71,-60.16764589
72,-60.16687704
73,-60.16893449
74,-60.17049385
75,-60.17108934
76,-60.17047317
77,-60.17025814
78,-60.16947721
79,-60.16872817
80,-60.1701296
81,-60.17219026
82,-60.16895578
83,-60.17030959
84,-60.16920967
85,-60.17079553
86,-60.16997048
87,-60.16948071
88,-60.17083966
89,-60.16866549
90,-60.16912468
91,-60.16712527
92,-60.16896771
93,-60.17096299
94,-60.17042358
95,-60.17103129
96,-60.17212586
97,-60.16912975
98,-60.16924004
99,-60.17099859
100,-60.17194594
101,-60.16837859
102,-60.17090321
103,-60.17177977
104,-60.16929576
105,-60.16859568
106,-60.16943764
107,-60.17063495
108,-60.17173275
109,-60.16812509
110,-60.16941652
111,-60.17249601
112,-60.17111507
113,-60.17037434
114,-60.170298
115,-60.17053241
116,-60.17196316
117,-60.1686136
118,-60.17041216
119,-60.16931262
120,-60.16671317
121,-60.169405
122,-60.16841606
123,-60.16851436
124,-60.1714401
125,-60.16611406
126,-60.16975333
127,-60.17107677
128,-60.17067671
129,-60.17245617
130,-60.16869463
131,-60.17191064
132,-60.1682734
133,-60.17091956
134,-60.17103466
135,-60.17105516
136,-60.16677995
137,-60.17158543
138,-60.16879102
139,-60.17105064
140,-60.168651
141,-60.16933556
142,-60.17007838
143,-60.17031562
144,-60.16908827
145,-60.16951584
146,-60.16863968
147,-60.16724103
148,-60.17040402
149,-60.16793047
150,66.94257921
151,-60.16786982
152,-60.1684865
153,-60.17016066
154,-60.16978083
155,-60.17025102
156,-60.17107685
157,-60.16947187
158,-60.16803746
159,-60.16742799
160,-60.16844877
161,-60.16664327
162,-60.17092192
163,-60.17190865
