,0
0,-86.34414097467187
1,-86.31202763501237
2,-86.30134762097585
3,-86.30600956061686
4,-86.30938986361888
5,-86.32375560418616
6,-86.30623487198831
7,-86.31193663588319
8,-86.3058926831654
9,-86.32196410194838
10,-86.31906121136063
11,-86.31675319508626
12,-86.31083834453257
13,-86.307970666868
14,-86.30716477573121
15,-86.30987894184167
16,-86.31218281158495
17,-86.29944122061801
18,-86.30287231447934
19,-86.31414175790688
20,-86.31011741282147
21,-86.3082578335944
22,-86.31871422470053
23,-86.31372075962696
24,-86.29610319300541
25,-86.30801179150025
26,-86.3193930847782
27,-86.32334034326344
28,-86.29632023986731
29,-86.30324192798471
30,-86.31862694239832
31,-86.31514955601129
32,-86.30618887954535
33,-86.31685136230662
34,-86.30790074668823
35,-86.29597800320384
36,-86.31945007421663
37,-86.31234849810201
38,-86.30987883689717
39,-86.31912016665164
40,-86.31040137000153
41,-86.32140899252731
42,-86.30299359353542
43,-86.31304195322552
44,-86.31608771107666
45,-86.32190551454228
46,-86.31062908640732
47,-86.30714870157522
48,-86.30905477579441
49,-86.31113002849821
50,-86.30955318928271
51,-86.31908785818358
52,-86.29490640131016
53,-86.31700339228266
54,-86.31244269665403
55,-86.32025338431275
56,-86.30655023597099
57,-86.30205634540398
58,-86.30975719768298
59,-86.30414494759376
60,-86.30404952198299
61,-86.31450965290291
62,-86.30584702002642
63,-86.29746786068739
64,-86.31324420932872
65,-86.29929544797764
66,-86.30731177179283
67,-86.32024950269057
68,-86.29377008913676
69,-86.31130058349186
70,-86.31170952276943
71,-86.30134567940581
72,-86.31111758815086
73,-86.31122226437338
74,-86.30756842638426
75,-86.32253059642608
76,-86.31795225032886
77,-86.32589803089695
78,-86.30030687968707
79,-86.31358902067038
80,-86.32062558655895
81,-86.31769541825189
82,-86.31106640852995
83,-86.31190742934854
84,-86.3073181162786
85,-86.31670646074915
86,-86.3154875412567
87,-86.31398273646494
88,-86.32414601451711
89,-86.30483753683612
90,-86.29711305182192
91,-86.3043801678713
92,-86.31063316865372
93,-86.3163401154549
94,-86.3144100828887
95,-86.32169630968241
96,-86.32306990080261
97,-86.30930891953024
98,-86.31952200316306
99,-86.31975810601499
