,0
0,-4.520399097515742
1,-4.520399097515742
2,-4.5199728489302515
3,-4.520230288869576
4,-4.519770849728066
5,-4.5203200736505424
6,-4.520325157235545
7,-4.520223863068243
8,-4.520271862832466
9,-4.520025121902806
10,-4.520270538392449
11,-4.520312473588748
12,-4.519464600269395
13,-4.5201688663332416
14,-4.520207392688117
15,-4.520038911171886
16,-4.520371319974162
17,-4.5203445107304905
18,-4.520327001219069
19,-4.520354027990967
20,-4.520314771518184
21,-4.519801102755542
22,-4.520325507463927
23,-4.520332844609604
24,-4.5203160427018165
25,-4.5201486682827685
26,-4.520360038802798
27,-4.520377756561637
28,-4.52031083184019
29,-4.520293497286247
30,-4.520066155601216
31,-4.520163262472144
32,-4.520391394680358
33,-4.520240018304706
34,-4.520391613833895
35,-4.520369082763624
36,-4.519959566625102
37,-4.520298289515782
38,-4.520285407875006
39,-4.520310891517783
40,-4.519966132205915
41,-4.520011672713623
42,-4.520370208038495
43,-4.52033602858862
44,-4.520350758390815
45,-4.5198842814827165
46,-4.520388939270387
47,-4.520314824575335
48,-4.520256878415068
49,-4.5199332728253845
50,-4.520080349757192
51,-4.520368257559439
52,-4.5203379588173265
53,-4.5202216122294345
54,-4.520363087545718
55,-4.5203876830276215
56,-4.520226761863498
57,-4.520372694174324
58,-4.52013474172039
59,-4.520355143890236
60,-4.520389765249666
61,-4.520213345444678
62,-4.520191161170073
63,-4.520076725819425
64,-4.5201271886823875
65,-4.519869283845667
66,-4.5203448489681595
67,-4.519688674506356
68,-4.5203594380339664
69,-4.520258225513207
70,-4.520243813907883
71,-4.519797807640335
72,-4.5202840177375085
73,-4.520301699790413
74,-4.5203949015529865
75,-4.520393716814451
76,-4.520125892896939
77,-4.5202918613222245
78,-4.520397589741247
79,-4.520346614961454
80,-4.519594017126543
81,-4.519916682700368
82,-4.520389958232672
83,-4.520330932795454
84,-4.520373079236099
85,-4.5203317216962215
86,-4.520263955451385
87,-4.5203459226291
88,-4.520373459116045
89,-4.5203407689213115
90,-4.520263212888584
91,-4.520303696543149
92,-4.520379456777416
93,-4.519872779257279
94,-4.520224320862972
95,-4.520043413687017
96,-4.5203334638324115
97,-4.520364570679969
98,-4.520096344177368
99,-4.520242415400634
100,-4.520309892516858
